start,end,capacities,unit costs,,,,a1,b1
a2,b96,9726,26,,,,,b192
a43,b251,6276,40,,,,,b193
a45,b123,8062,15,,,,,b194
a86,b128,7796,50,,,,,b195
a57,b257,288,49,,,,,b196
a96,b357,7487,18,,,,,b197
a54,b65,9606,22,,,,,b198
a54,b334,7098,23,,,,,b199
a81,b11,9622,45,,,,,b200
a63,b373,8172,45,,,,,b201
a66,b294,5546,28,,,,,b202
a1,b128,3270,25,,,,,b203
a18,b367,1584,43,,,,,b204
a69,b174,9611,11,,,,,b205
a73,b247,7232,36,,,,,b206
a77,b136,9755,35,,,,,b207
a60,b4,5208,10,,,,,b208
a64,b161,8920,20,,,,,b209
a81,b310,2845,43,,,,,b210
a63,b116,210,48,,,,,b211
a42,b72,4916,37,,,,,b212
a86,b330,8270,29,,,,,b213
a52,b287,6006,20,,,,,b214
a60,b215,2951,23,,,,,b215
a97,b374,8217,21,,,,,b216
a92,b265,2878,22,,,,,b217
a78,b101,3488,25,,,,,b218
a97,b91,9228,50,,,,,b219
a92,b21,5780,46,,,,,b220
a71,b280,7541,50,,,,,b221
a51,b120,1218,30,,,,,b222
a6,b12,6281,45,,,,,b223
a45,b270,6230,45,,,,,b224
a7,b103,5391,46,,,,,b225
a87,b21,2273,34,,,,,b226
a69,b398,8021,11,,,,,b227
a78,b268,4494,12,,,,,b228
a81,b373,7165,20,,,,,b229
a1,b248,8702,19,,,,,b230
a77,b392,4737,13,,,,,b231
a7,b401,160,29,,,,,b232
a13,b293,1781,49,,,,,b233
a49,b198,6750,29,,,,,b234
a59,b233,9482,41,,,,,b235
a14,b171,1915,34,,,,,b236
a25,b225,4534,44,,,,,b237
a46,b229,639,27,,,,,b238
a24,b100,9927,32,,,,,b239
a13,b224,2488,47,,,,,b240
a27,b344,5099,29,,,,,b241
a36,b300,2113,37,,,,,b242
a78,b408,2112,36,,,,,b243
a27,b263,594,49,,,,,b244
a69,b291,3886,43,,,,,b245
a58,b186,4840,36,,,,,b246
a58,b211,4031,16,,,,,b247
a38,b226,368,26,,,,,b248
a14,b144,7175,50,,,,,b249
a33,b68,6470,28,,,,,b250
a48,b329,4110,16,,,,,b251
a78,b179,5798,23,,,,,b252
a34,b279,5997,50,,,,,b253
a81,b400,740,24,,,,,b254
a93,b52,593,44,,,,,b255
a64,b362,6355,47,,,,,b256
a37,b180,2965,48,,,,,b257
a31,b186,8943,28,,,,,b258
a38,b110,5492,31,,,,,b259
a80,b9,6044,28,,,,,b260
a30,b152,2367,18,,,,,b261
a100,b352,6066,22,,,,,b262
a88,b86,7980,32,,,,,b263
a74,b224,7110,31,,,,,b264
a20,b127,7304,32,,,,,b265
a49,b180,6757,50,,,,,b266
a38,b376,596,19,,,,,b267
a54,b214,5404,12,,,,,b268
a57,b20,2663,38,,,,,b269
a98,b224,1588,27,,,,,b270
a72,b386,9736,45,,,,,b271
a19,b240,5350,22,,,,,b272
a89,b359,4233,13,,,,,b273
a43,b251,4643,27,,,,,b274
a7,b143,2494,36,,,,,b275
a37,b73,8372,28,,,,,b276
a24,b330,5146,35,,,,,b277
a72,b264,8637,26,,,,,b278
a67,b311,8630,45,,,,,b279
a63,b89,2610,15,,,,,b280
a9,b353,2621,31,,,,,b281
a17,b184,8497,39,,,,,b282
a71,b86,2145,25,,,,,b283
a42,b354,1286,28,,,,,b284
a89,b78,7458,11,,,,,b285
a18,b372,2070,48,,,,,b286
a46,b31,4205,24,,,,,b287
a16,b164,8214,40,,,,,b288
a68,b318,1215,25,,,,,b289
a52,b84,5099,17,,,,,b290
a22,b411,3375,37,,,,,b291
a66,b256,8647,16,,,,,b292
a95,b98,8474,10,,,,,b293
a68,b401,3501,47,,,,,b294
a18,b270,3415,22,,,,,b295
a96,b360,7218,29,,,,,b296
a36,b148,9327,26,,,,,b297
a50,b387,898,23,,,,,b298
a6,b383,6396,10,,,,,b299
a100,b280,378,14,,,,,b300
a60,b359,6854,27,,,,,b301
a82,b72,465,30,,,,,b302
a29,b321,1319,14,,,,,b303
,,,,,,,,b304
,,,,,,,,b305
,,,,,,,,b306
,,,,,,,,b307
,,,,,,,,b308
,,,,,,,,b309
,,,,,,,,b310
,,,,,,,,b311
,,,,,,,,b312
,,,,,,,,b313
,,,,,,,,b314
,,,,,,,,b315
,,,,,,,,b316
,,,,,,,,b317
,,,,,,,,b318
,,,,,,,,b319
,,,,,,,,b320
,,,,,,,,b321
,,,,,,,,b322
,,,,,,,,b323
,,,,,,,,b324
,,,,,,,,b325
,,,,,,,,b326
,,,,,,,,b327
,,,,,,,,b328
,,,,,,,,b329
,,,,,,,,b330
,,,,,,,,b331
,,,,,,,,b332
,,,,,,,,b333
,,,,,,,,b334
,,,,,,,,b335
,,,,,,,,b336
,,,,,,,,b337
,,,,,,,,b338
,,,,,,,,b339
,,,,,,,,b340
,,,,,,,,b341
,,,,,,,,b342
,,,,,,,,b343
,,,,,,,,b344
,,,,,,,,b345
,,,,,,,,b346
,,,,,,,,b347
,,,,,,,,b348
,,,,,,,,b349
,,,,,,,,b350
,,,,,,,,b351
,,,,,,,,b352
,,,,,,,,b353
,,,,,,,,b354
,,,,,,,,b355
,,,,,,,,b356
,,,,,,,,b357
,,,,,,,,b358
,,,,,,,,b359
,,,,,,,,b360
,,,,,,,,b361
,,,,,,,,b362
,,,,,,,,b363
,,,,,,,,b364
,,,,,,,,b365
,,,,,,,,b366
,,,,,,,,b367
,,,,,,,,b368
,,,,,,,,b369
,,,,,,,,b370
,,,,,,,,b371
,,,,,,,,b372
,,,,,,,,b373
,,,,,,,,b374
,,,,,,,,b375
,,,,,,,,b376
,,,,,,,,b377
,,,,,,,,b378
,,,,,,,,b379
,,,,,,,,b380
,,,,,,,,b381
,,,,,,,,b382
,,,,,,,,b383
,,,,,,,,b384
,,,,,,,,b385
,,,,,,,,b386
,,,,,,,,b387
,,,,,,,,b388
,,,,,,,,b389
,,,,,,,,b390
,,,,,,,,b391
,,,,,,,,b392
,,,,,,,,b393
,,,,,,,,b394
,,,,,,,,b395
,,,,,,,,b396
,,,,,,,,b397
,,,,,,,,b398
,,,,,,,,b399
,,,,,,,,b400
,,,,,,,,b401
,,,,,,,,b402
,,,,,,,,b403
,,,,,,,,b404
,,,,,,,,b405
,,,,,,,,b406
,,,,,,,,b407
,,,,,,,,b408
,,,,,,,,b409
,,,,,,,,b410
,,,,,,,,b411
